2026-08-27 01:12:44 [INFO]: Loading Overrides...
2026-08-27 01:12:44 [INFO]: Loading World Types...
2026-08-27 01:12:44 [INFO]: - World Type for 'lobby' set to 'NORMAL'
2026-08-27 01:12:44 [INFO]: - World Type for 'WORLD' set to 'NORMAL'
2026-08-27 01:12:44 [INFO]: - World Type for 'WORLD_nether' set to 'NETHER'
2026-08-27 01:12:44 [INFO]: - World Type for 'WORLD_the_end' set to 'NORMAL'
2026-08-27 01:12:44 [INFO]: Loading Defaults...
2026-08-27 01:12:44 [INFO]: Loading Custom Worlds...
2026-08-27 01:12:44 [INFO]: [WARN] - Custom World 'custom_world_1' was not registered because world does NOT exist
2026-08-27 01:12:44 [INFO]: [WARN] - Custom World 'other_custom_world' was not registered because world does NOT exist
2026-08-27 01:12:44 [SEVERE]: The particle 'EXPLOSION_NORMAL' created a fatal error when loading particles! Your MC version isn't supported!
2026-08-27 01:12:48 [INFO]: Database PLAYERS:Players configured and loaded!
2026-08-27 01:12:48 [INFO]: Database CHUNK_DATA:ChunkData configured and loaded!
2026-08-27 01:12:48 [INFO]: Database COOLDOWN:WORLD configured and loaded!
2026-08-27 01:12:48 [INFO]: Database COOLDOWN:WORLD_nether configured and loaded!
2026-08-27 01:12:48 [INFO]: Database COOLDOWN:WORLD_the_end configured and loaded!
2026-08-27 01:12:48 [INFO]: Database COOLDOWN:lobby configured and loaded!
2026-08-27 01:12:48 [INFO]: Database COOLDOWN:surlob configured and loaded!
2026-08-27 01:36:14 [INFO]: HydraMC_YTB executed: /betterrtp world WORLD
2026-08-27 01:52:29 [INFO]: KhangNon executed: /betterrtp world WORLD
2026-08-27 02:01:13 [INFO]: mingoc executed: /betterrtp world WORLD
2026-08-27 02:14:48 [INFO]: HydraMC_YTB executed: /betterrtp world WORLD
2026-08-27 02:16:07 [INFO]: fallintoempty executed: /betterrtp world WORLD
2026-08-27 02:16:36 [INFO]: fallintoempty executed: /betterrtp world WORLD
2026-08-27 02:16:58 [INFO]: fallintoempty executed: /betterrtp world WORLD
2026-08-27 02:17:37 [INFO]: KhangNon executed: /betterrtp world WORLD
2026-08-27 02:18:16 [INFO]: KhangNon executed: /betterrtp world WORLD
2026-08-27 02:18:27 [INFO]: HydraMC_YTB executed: /betterrtp world WORLD
2026-08-27 02:22:22 [INFO]: HydraMC_YTB executed: /betterrtp world WORLD
2026-08-27 02:25:06 [INFO]: HydraMC_YTB executed: /betterrtp world WORLD
2026-08-27 02:25:09 [INFO]: HydraMC_YTB executed: /betterrtp world WORLD
2026-08-27 02:26:27 [INFO]: fallintoempty executed: /betterrtp world WORLD
2026-08-27 02:28:36 [INFO]: HydraMC_YTB executed: /betterrtp world WORLD
2026-08-27 02:29:24 [INFO]: fallintoempty executed: /betterrtp world WORLD
2026-08-27 02:29:48 [INFO]: fallintoempty executed: /betterrtp world WORLD
2026-08-27 02:30:18 [INFO]: fallintoempty executed: /betterrtp world WORLD
2026-08-27 02:30:48 [INFO]: KhangNon executed: /betterrtp world WORLD
2026-08-27 02:31:18 [INFO]: fallintoempty executed: /betterrtp world WORLD
2026-08-27 02:32:09 [INFO]: HydraMC_YTB executed: /betterrtp world WORLD
2026-08-27 02:32:13 [INFO]: HydraMC_YTB executed: /betterrtp world WORLD
2026-08-27 02:33:28 [INFO]: fallintoempty executed: /betterrtp world WORLD
